,eA0_Utopia,dA0_Utopia,cA0_Utopia,bA0_Utopia,aA0_Utopia,eB0_Utopia,dB0_Utopia,cB0_Utopia,bB0_Utopia,aB0_Utopia,eC0_Utopia,dC0_Utopia,cC0_Utopia,bC0_Utopia,aC0_Utopia,eD0_Utopia,dD0_Utopia,cD0_Utopia,bD0_Utopia,aD0_Utopia,eA1_Utopia,dA1_Utopia,cA1_Utopia,bA1_Utopia,aA1_Utopia,eB1_Utopia,dB1_Utopia,cB1_Utopia,bB1_Utopia,aB1_Utopia,eC1_Utopia,dC1_Utopia,cC1_Utopia,bC1_Utopia,aC1_Utopia,eD1_Utopia,dD1_Utopia,cD1_Utopia,bD1_Utopia,aD1_Utopia,eA2_Utopia,dA2_Utopia,cA2_Utopia,bA2_Utopia,aA2_Utopia,eB2_Utopia,dB2_Utopia,cB2_Utopia,bB2_Utopia,aB2_Utopia,eC2_Utopia,dC2_Utopia,cC2_Utopia,bC2_Utopia,aC2_Utopia,eD2_Utopia,dD2_Utopia,cD2_Utopia,bD2_Utopia,aD2_Utopia,eA3_Utopia,dA3_Utopia,cA3_Utopia,bA3_Utopia,aA3_Utopia,eB3_Utopia,dB3_Utopia,cB3_Utopia,bB3_Utopia,aB3_Utopia,eC3_Utopia,dC3_Utopia,cC3_Utopia,bC3_Utopia,aC3_Utopia,eD3_Utopia,dD3_Utopia,cD3_Utopia,bD3_Utopia,aD3_Utopia,eA4_Utopia,dA4_Utopia,cA4_Utopia,bA4_Utopia,aA4_Utopia,eB4_Utopia,dB4_Utopia,cB4_Utopia,bB4_Utopia,aB4_Utopia,eC4_Utopia,dC4_Utopia,cC4_Utopia,bC4_Utopia,aC4_Utopia,eD4_Utopia,dD4_Utopia,cD4_Utopia,bD4_Utopia,aD4_Utopia,eA5_Utopia,dA5_Utopia,cA5_Utopia,bA5_Utopia,aA5_Utopia,eB5_Utopia,dB5_Utopia,cB5_Utopia,bB5_Utopia,aB5_Utopia,eC5_Utopia,dC5_Utopia,cC5_Utopia,bC5_Utopia,aC5_Utopia,eD5_Utopia,dD5_Utopia,cD5_Utopia,bD5_Utopia,aD5_Utopia,eA6_Utopia,dA6_Utopia,cA6_Utopia,bA6_Utopia,aA6_Utopia,eB6_Utopia,dB6_Utopia,cB6_Utopia,bB6_Utopia,aB6_Utopia,eC6_Utopia,dC6_Utopia,cC6_Utopia,bC6_Utopia,aC6_Utopia,eD6_Utopia,dD6_Utopia,cD6_Utopia,bD6_Utopia,aD6_Utopia,eA7_Utopia,dA7_Utopia,cA7_Utopia,bA7_Utopia,aA7_Utopia,eB7_Utopia,dB7_Utopia,cB7_Utopia,bB7_Utopia,aB7_Utopia,eC7_Utopia,dC7_Utopia,cC7_Utopia,bC7_Utopia,aC7_Utopia,eD7_Utopia,dD7_Utopia,cD7_Utopia,bD7_Utopia,aD7_Utopia,eA8_Utopia,dA8_Utopia,cA8_Utopia,bA8_Utopia,aA8_Utopia,eB8_Utopia,dB8_Utopia,cB8_Utopia,bB8_Utopia,aB8_Utopia,eC8_Utopia,dC8_Utopia,cC8_Utopia,bC8_Utopia,aC8_Utopia,eD8_Utopia,dD8_Utopia,cD8_Utopia,bD8_Utopia,aD8_Utopia,eA9_Utopia,dA9_Utopia,cA9_Utopia,bA9_Utopia,aA9_Utopia,eB9_Utopia,dB9_Utopia,cB9_Utopia,bB9_Utopia,aB9_Utopia,eC9_Utopia,dC9_Utopia,cC9_Utopia,bC9_Utopia,aC9_Utopia,eD9_Utopia,dD9_Utopia,cD9_Utopia,bD9_Utopia,aD9_Utopia,eA10_Utopia,dA10_Utopia,cA10_Utopia,bA10_Utopia,aA10_Utopia,eB10_Utopia,dB10_Utopia,cB10_Utopia,bB10_Utopia,aB10_Utopia,eC10_Utopia,dC10_Utopia,cC10_Utopia,bC10_Utopia,aC10_Utopia,eD10_Utopia,dD10_Utopia,cD10_Utopia,bD10_Utopia,aD10_Utopia,eA11_Utopia,dA11_Utopia,cA11_Utopia,bA11_Utopia,aA11_Utopia,eB11_Utopia,dB11_Utopia,cB11_Utopia,bB11_Utopia,aB11_Utopia,eC11_Utopia,dC11_Utopia,cC11_Utopia,bC11_Utopia,aC11_Utopia,eD11_Utopia,dD11_Utopia,cD11_Utopia,bD11_Utopia,aD11_Utopia,eA12_Utopia,dA12_Utopia,cA12_Utopia,bA12_Utopia,aA12_Utopia,eB12_Utopia,dB12_Utopia,cB12_Utopia,bB12_Utopia,aB12_Utopia,eC12_Utopia,dC12_Utopia,cC12_Utopia,bC12_Utopia,aC12_Utopia,eD12_Utopia,dD12_Utopia,cD12_Utopia,bD12_Utopia,aD12_Utopia,eA13_Utopia,dA13_Utopia,cA13_Utopia,bA13_Utopia,aA13_Utopia,eB13_Utopia,dB13_Utopia,cB13_Utopia,bB13_Utopia,aB13_Utopia,eC13_Utopia,dC13_Utopia,cC13_Utopia,bC13_Utopia,aC13_Utopia,eD13_Utopia,dD13_Utopia,cD13_Utopia,bD13_Utopia,aD13_Utopia,eA14_Utopia,dA14_Utopia,cA14_Utopia,bA14_Utopia,aA14_Utopia,eB14_Utopia,dB14_Utopia,cB14_Utopia,bB14_Utopia,aB14_Utopia,eC14_Utopia,dC14_Utopia,cC14_Utopia,bC14_Utopia,aC14_Utopia,eD14_Utopia,dD14_Utopia,cD14_Utopia,bD14_Utopia,aD14_Utopia
eC0_Utopia,k_defouling,0,0,0,0,0,0,0,0,0,k_discorporation+k_fragmentation+k_heteroaggregation+k_advective_transport,k_fragmentation,0,0,0,k_heteroaggregation,0,0,0,0,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol
dC0_Utopia,0,k_defouling,0,0,0,0,0,0,0,0,0,k_discorporation+k_fragmentation+k_heteroaggregation+k_advective_transport+k_settling,k_fragmentation,0,0,0,k_heteroaggregation,0,0,0,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol
cC0_Utopia,0,0,k_defouling,0,0,0,0,0,0,0,0,0,k_discorporation+k_fragmentation+k_heteroaggregation+k_advective_transport+k_settling,k_fragmentation,0,0,0,k_heteroaggregation,0,0,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol
bC0_Utopia,0,0,0,k_defouling,0,0,0,0,0,0,0,0,0,k_discorporation+k_fragmentation+k_heteroaggregation+k_advective_transport+k_settling,k_fragmentation,0,0,0,k_heteroaggregation,0,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol
aC0_Utopia,0,0,0,0,k_defouling,0,0,0,0,0,0,0,0,0,k_discorporation+k_fragmentation+k_heteroaggregation+k_advective_transport+k_settling,0,0,0,0,k_heteroaggregation,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol
eD0_Utopia,0,0,0,0,0,k_defouling,0,0,0,0,k_heteroaggregate_breackup,0,0,0,0,k_discorporation+k_fragmentation+k_heteroaggregate_breackup+k_advective_transport,k_fragmentation,0,0,0,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol
dD0_Utopia,0,0,0,0,0,0,k_defouling,0,0,0,0,k_heteroaggregate_breackup,0,0,0,0,k_discorporation+k_fragmentation+k_heteroaggregate_breackup+k_advective_transport+k_settling,k_fragmentation,0,0,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol
cD0_Utopia,0,0,0,0,0,0,0,k_defouling,0,0,0,0,k_heteroaggregate_breackup,0,0,0,0,k_discorporation+k_fragmentation+k_heteroaggregate_breackup+k_advective_transport+k_settling,k_fragmentation,0,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol
bD0_Utopia,0,0,0,0,0,0,0,0,k_defouling,0,0,0,0,k_heteroaggregate_breackup,0,0,0,0,k_discorporation+k_fragmentation+k_heteroaggregate_breackup+k_advective_transport+k_settling,k_fragmentation,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol
aD0_Utopia,0,0,0,0,0,0,0,0,0,k_defouling,0,0,0,0,k_heteroaggregate_breackup,0,0,0,0,k_discorporation+k_fragmentation+k_heteroaggregate_breackup+k_advective_transport+k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,k_settling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,k_advective_transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol,k_sea_spray_aerosol
